"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code",Births
,"2021","2021","Delaware","10","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",29
,"2021","2021","Delaware","10","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",12
,"2021","2021","Delaware","10","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",10
,"2021","2021","Delaware","10","Vaginal","1","Yes","1","Unknown or Not Stated","9",10
,"2021","2021","Delaware","10","Vaginal","1","No","2","Underweight <18.5","1",192
,"2021","2021","Delaware","10","Vaginal","1","No","2","Normal 18.5-24.9","2",2626
,"2021","2021","Delaware","10","Vaginal","1","No","2","Overweight 25.0-29.9","3",2029
,"2021","2021","Delaware","10","Vaginal","1","No","2","Obesity I 30.0-34.9","4",1112
,"2021","2021","Delaware","10","Vaginal","1","No","2","Obesity II 35.0-39.9","5",548
,"2021","2021","Delaware","10","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",333
,"2021","2021","Delaware","10","Vaginal","1","No","2","Unknown or Not Stated","9",85
,"2021","2021","Delaware","10","Vaginal","1","Unknown or Not Stated","9","Normal 18.5-24.9","2",13
,"2021","2021","Delaware","10","Cesarean","2","Yes","1","Underweight <18.5","1",11
,"2021","2021","Delaware","10","Cesarean","2","Yes","1","Normal 18.5-24.9","2",305
,"2021","2021","Delaware","10","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",324
,"2021","2021","Delaware","10","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",280
,"2021","2021","Delaware","10","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",144
,"2021","2021","Delaware","10","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",170
,"2021","2021","Delaware","10","Cesarean","2","Yes","1","Unknown or Not Stated","9",17
,"2021","2021","Delaware","10","Cesarean","2","No","2","Underweight <18.5","1",42
,"2021","2021","Delaware","10","Cesarean","2","No","2","Normal 18.5-24.9","2",569
,"2021","2021","Delaware","10","Cesarean","2","No","2","Overweight 25.0-29.9","3",535
,"2021","2021","Delaware","10","Cesarean","2","No","2","Obesity I 30.0-34.9","4",412
,"2021","2021","Delaware","10","Cesarean","2","No","2","Obesity II 35.0-39.9","5",247
,"2021","2021","Delaware","10","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",254
,"2021","2021","Delaware","10","Cesarean","2","No","2","Unknown or Not Stated","9",24
,"2021","2021","Delaware","10","Unknown or Not Stated","9","No","2","Normal 18.5-24.9","2",10
,"2021","2021","District of Columbia","11","Vaginal","1","Yes","1","Normal 18.5-24.9","2",118
,"2021","2021","District of Columbia","11","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",64
,"2021","2021","District of Columbia","11","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",32
,"2021","2021","District of Columbia","11","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",18
,"2021","2021","District of Columbia","11","Vaginal","1","No","2","Underweight <18.5","1",183
,"2021","2021","District of Columbia","11","Vaginal","1","No","2","Normal 18.5-24.9","2",2913
,"2021","2021","District of Columbia","11","Vaginal","1","No","2","Overweight 25.0-29.9","3",1303
,"2021","2021","District of Columbia","11","Vaginal","1","No","2","Obesity I 30.0-34.9","4",675
,"2021","2021","District of Columbia","11","Vaginal","1","No","2","Obesity II 35.0-39.9","5",253
,"2021","2021","District of Columbia","11","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",198
,"2021","2021","District of Columbia","11","Vaginal","1","No","2","Unknown or Not Stated","9",177
,"2021","2021","District of Columbia","11","Cesarean","2","Yes","1","Underweight <18.5","1",13
,"2021","2021","District of Columbia","11","Cesarean","2","Yes","1","Normal 18.5-24.9","2",256
,"2021","2021","District of Columbia","11","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",209
,"2021","2021","District of Columbia","11","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",138
,"2021","2021","District of Columbia","11","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",85
,"2021","2021","District of Columbia","11","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",88
,"2021","2021","District of Columbia","11","Cesarean","2","Yes","1","Unknown or Not Stated","9",26
,"2021","2021","District of Columbia","11","Cesarean","2","No","2","Underweight <18.5","1",32
,"2021","2021","District of Columbia","11","Cesarean","2","No","2","Normal 18.5-24.9","2",820
,"2021","2021","District of Columbia","11","Cesarean","2","No","2","Overweight 25.0-29.9","3",438
,"2021","2021","District of Columbia","11","Cesarean","2","No","2","Obesity I 30.0-34.9","4",267
,"2021","2021","District of Columbia","11","Cesarean","2","No","2","Obesity II 35.0-39.9","5",149
,"2021","2021","District of Columbia","11","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",129
,"2021","2021","District of Columbia","11","Cesarean","2","No","2","Unknown or Not Stated","9",46
,"2021","2021","Florida","12","Vaginal","1","Yes","1","Underweight <18.5","1",81
,"2021","2021","Florida","12","Vaginal","1","Yes","1","Normal 18.5-24.9","2",1229
,"2021","2021","Florida","12","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",991
,"2021","2021","Florida","12","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",540
,"2021","2021","Florida","12","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",269
,"2021","2021","Florida","12","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",194
,"2021","2021","Florida","12","Vaginal","1","Yes","1","Unknown or Not Stated","9",288
,"2021","2021","Florida","12","Vaginal","1","No","2","Underweight <18.5","1",4903
,"2021","2021","Florida","12","Vaginal","1","No","2","Normal 18.5-24.9","2",55755
,"2021","2021","Florida","12","Vaginal","1","No","2","Overweight 25.0-29.9","3",35905
